,AFLfantasy,Supercoach,behinds,disposals,freesAgainst,freesFor,gameID,goals,handballs,hitouts,homeAway,i50s,kicks,marks,name,tackles
43618,51,56,0,12,0,0,6081,0,8,0,Home,0,4,1,Jake Neade,5
43619,50,43,0,12,0,1,6081,0,4,0,Home,3,8,3,Karl Amon,2
43620,61,62,0,10,0,0,6081,0,3,0,Home,0,7,6,Jack Hombsch,4
43621,34,52,0,10,0,0,6081,0,6,0,Home,1,4,2,Tom Clurey,1
43622,27,45,0,9,0,0,6081,0,3,0,Home,1,6,1,Cameron O'Shea,0
43623,34,35,0,7,1,0,6081,0,3,0,Home,0,4,1,Paul Stewart,4
43624,40,52,0,7,0,0,6081,0,4,0,Home,0,3,1,Brendon Ah Chee,5
43625,20,22,0,3,1,0,6081,0,3,9,Home,0,0,0,Matthew Lobbe,2
43626,139,143,0,38,2,0,6081,1,14,0,Away,5,24,5,Taylor Adams,6
43627,132,130,1,33,0,2,6081,0,14,0,Away,4,19,4,Dane Swan,8
43628,107,122,0,31,0,0,6081,0,17,0,Away,2,14,5,Steele Sidebottom,4
43629,112,96,1,29,0,0,6081,1,15,0,Away,4,14,3,Scott Pendlebury,6
43630,111,126,0,23,0,1,6081,0,8,0,Away,2,15,7,Tom Langdon,7
43631,83,74,0,22,0,0,6081,1,8,0,Away,3,14,5,Jamie Elliott,1
43632,107,97,0,22,0,0,6081,1,7,1,Away,2,15,3,Jack Crisp,8
43633,76,79,0,20,1,0,6081,0,12,0,Away,5,8,1,Travis Varcoe,7
43634,68,66,0,18,0,1,6081,0,7,0,Away,1,11,4,Brayden Maynard,2
43635,61,50,1,16,0,1,6081,0,8,0,Away,1,8,1,Jarryd Blair,4
43636,70,78,1,16,0,0,6081,1,7,0,Away,1,9,2,Adam Oxley,4
43637,71,53,0,16,0,0,6081,1,3,0,Away,5,13,0,Jordan De Goey,5
43638,70,65,1,15,0,0,6081,1,5,1,Away,2,10,6,Jesse White,1
43639,43,65,0,13,0,0,6081,0,8,0,Away,3,5,4,Travis Cloke,0
43640,81,78,0,13,1,0,6081,0,7,30,Away,2,6,2,Brodie Grundy,4
43641,70,52,1,12,0,1,6081,1,5,0,Away,3,7,1,Alex Fasolo,7
43642,54,62,0,11,0,0,6081,0,5,0,Away,0,6,2,Alan Toovey,5
43643,42,40,0,10,0,0,6081,0,6,0,Away,1,4,2,Timothy Broomhead,3
43644,38,48,0,10,0,1,6081,0,7,0,Away,1,3,2,Jack Frost,2
43645,33,44,0,9,1,0,6081,0,7,2,Away,1,2,2,Nathan Brown,2
43646,31,50,0,9,1,0,6081,0,6,2,Away,1,3,1,Darcy Moore,2
43647,68,63,0,7,1,1,6081,1,3,32,Away,1,4,2,Jarrod Witts,2
43648,96,111,0,26,3,2,6082,0,9,0,Home,4,17,6,Brandon Ellis,4
43649,109,124,0,25,1,3,6082,1,14,2,Home,2,11,4,Shaun Grigg,7
43650,92,108,1,23,3,5,6082,2,7,0,Home,5,16,3,Trent Cotchin,3
43651,89,154,0,22,0,2,6082,0,8,1,Home,1,14,8,Alex Rance,1
43652,99,139,3,21,0,0,6082,1,7,1,Home,3,14,7,Brett Deledio,3
43653,65,68,1,21,4,0,6082,1,6,0,Home,4,15,3,Dustin Martin,1
43654,84,98,0,19,0,3,6082,0,10,0,Home,0,9,2,Anthony Miles,7
43655,78,68,0,18,1,1,6082,0,6,0,Home,1,12,8,Taylor Hunt,2
43656,97,104,1,15,2,2,6082,3,1,0,Home,8,14,10,Jack Riewoldt,2
43657,57,65,0,15,0,1,6082,0,5,0,Home,1,10,4,Bachar Houli,1
43658,59,96,0,15,0,0,6082,0,7,0,Home,0,8,3,Nick Vlastuin,3
43659,69,80,0,14,0,1,6082,0,8,0,Home,1,6,6,Troy Chaplin,4
43660,59,76,0,14,2,0,6082,0,5,0,Home,2,9,4,Kamdyn Mcintosh,4
43661,77,66,1,13,2,2,6082,1,5,9,Home,4,8,9,Tyrone Vickery,1
43662,94,80,1,11,1,2,6082,0,1,34,Home,2,10,8,Shaun Hampson,1
43663,45,47,0,11,1,2,6082,0,3,0,Home,0,8,4,Dylan Grimes,1
43664,56,40,0,11,0,2,6082,0,2,0,Home,5,9,5,Kane Lambert,2
43665,33,73,0,10,1,2,6082,1,5,0,Home,3,5,1,Shane Edwards,0
43666,38,36,1,10,0,0,6082,0,6,0,Home,3,4,3,Nathan Gordon,1
43667,42,45,0,8,1,0,6082,0,2,0,Home,0,6,5,Jake Batchelor,2
43668,31,32,0,6,1,0,6082,0,2,0,Home,2,4,2,Chris Newman,3
43669,12,12,0,3,2,0,6082,0,3,0,Home,1,0,0,Steven Morris,3
43670,57,85,2,23,5,1,6082,0,13,0,Away,3,10,3,Andrew Carrazzo,1
43671,88,100,0,22,0,1,6082,0,8,0,Away,0,14,7,Kade Simpson,2
43672,92,113,1,22,1,3,6082,0,4,0,Away,2,18,3,Marc Murphy,5
43673,83,88,1,22,3,2,6082,0,12,2,Away,1,10,3,Patrick Cripps,6
43674,85,99,2,21,2,2,6082,0,11,1,Away,2,10,2,Bryce Gibbs,7
43675,76,93,0,20,0,0,6082,0,15,0,Away,1,5,5,Edward Curnow,4
43676,77,116,0,20,0,3,6082,0,10,0,Away,2,10,4,Zach Tuohy,3
43677,83,94,1,18,2,3,6082,0,5,0,Away,2,13,4,Jason Tutt,6
43678,107,100,2,14,2,1,6082,1,3,16,Away,3,11,7,Matthew Kreuzer,7
43679,62,71,0,14,1,0,6082,0,5,0,Away,1,9,4,Dylan Buckley,4
43680,55,57,0,14,0,0,6082,0,5,0,Away,4,9,2,Tom Bell,3
43681,64,62,0,13,0,0,6082,1,3,0,Away,4,10,6,Andrejs Everitt,1
43682,61,77,0,13,1,0,6082,1,6,0,Away,2,7,7,Lachlan Henderson,1
43683,77,70,1,13,1,1,6082,2,2,2,Away,2,11,9,Levi Casboult,0
43684,51,37,0,12,1,2,6082,0,4,1,Away,0,8,5,Simon White,1
43685,62,101,0,11,3,1,6082,0,5,12,Away,0,6,2,Cameron Wood,6
43686,69,68,0,10,0,1,6082,0,1,0,Away,0,9,5,Tom Fields,6
43687,41,38,0,9,1,2,6082,0,3,0,Away,3,6,2,Christopher Yarran,3
43688,38,46,0,9,2,0,6082,0,7,0,Away,2,2,4,Nick Holman,3
43689,32,39,1,6,1,2,6082,0,1,0,Away,2,5,1,Dennis Armfield,3
43690,12,23,0,6,4,0,6082,0,5,0,Away,0,1,1,Troy Menzel,2
43691,0,0,0,0,0,0,6082,0,0,0,Away,0,0,0,Michael Jamison,0
